Subject,Start_date,Start_time,End_time,Location,Description
Pub Quiz,2024-11-25,20:00,,"Pogue Mahone, Kiel","sonstige
Location Link: https://poguemahone.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=244&date=2024-11-25"
Kieler Weihnachtsmarkt,2024-11-25,,,"Innenstadt, Kiel","sonstige
Location Link: https://www.kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38320808&date=2024-11-25"
Stadtwerke Eisfestival,2024-11-25,,,"Germania Hafen, Kiel","sonstige
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=35121734&date=2024-11-25"
Campus Night,2024-11-26,23:00,,"Tucholsky, Kiel","disco
Free Entry All Night Long
Location Link: http://www.tucholskykiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36884361&date=2024-11-26"
Bilderbuchkino: Der Blätterdieb,2024-11-26,16:00,,"Stadtteilbücherei Mettenhof, Kiel","literatur
Für Kinder (3-6 Jahre)
Location Link: https://www.kiel.de/de/bildung_wissenschaft/stadtbuecherei/standorte_und_oeffnungszeiten/mettenhof.p
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37855077&date=2024-11-26"
U20 Poetry Slam Kiel,2024-11-26,19:00,,"Pumpe (Roter Salon), Kiel","literatur
Lesung
Location Link: https://www.diepumpe.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36977393&date=2024-11-26"
Lesung Clemens Meyer,2024-11-26,19:00,,"Literaturhaus, Kiel","literatur
tags lesung
Location Link: https://literaturhaus-sh.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37952445&date=2024-11-26"
Hansen oder die Sache mit dem Pinguin,2024-11-26,09:00,,"Niederdeutsche Bühne, Kiel","theater
Location Link: https://www.niederdeutschebuehne-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36623857&date=2024-11-26"
"Figurentheater Blauer Mond spielt: Yolka, das Trollmädchen",2024-11-26,10:00,,"Kulturforum, Kiel","theater
tags kinder
Location Link: http://www.kiel.de/kultur/kulturforum/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38225407&date=2024-11-26"
Kiel festhalten. Stadtansichten von Gretel Riemann,2024-11-26,11:30,,"Stadtmuseum Warleberger Hof, Kiel","vortrag
tags (teilw.) eintritt frei
Location Link: https://www.kiel.de/de/kultur_freizeit/museum/stadtmuseum_warleberger_hof.php
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37953893&date=2024-11-26"
Yvonne Al-Taie: Unmögliche Berührungen. Paul Celans Dichtung nach der Shoah,2024-11-26,18:15,,"CAU, Olshausenstraße 75 (Hörsaal 3), Kiel","vortrag
Vortrag der Ringvorlesung Die deutsch-jüdische Moderne
Location Link: http://www.uni-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37946069&date=2024-11-26"
THW Kiel - HC Vojvodina,2024-11-26,18:45,,"Wunderino Arena, Kiel","sport
European League
Location Link: https://www.wunderino-arena.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673598&date=2024-11-26"
Public Viewing: Champions League,2024-11-26,21:00,,"The Public, Kiel","sport
Live auf 3 Leinwänden und 10 Screens
Location Link: http://thepublic-pubandbar.com/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38311488&date=2024-11-26"
WärmeZeit,2024-11-26,15:00,,"Hof Akkerboom (Kuhstall), Kiel","sonstige
Location Link: http://www.hof-akkerboom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38127340&date=2024-11-26"
"Bücherzwerge: Geschichten, Spiele und Lieder für Kinder von 1 - 3 Jahren",2024-11-26,15:30,,"Stadtbücherei, Preetz, Kiel","sonstige
tags kinder
Location Link: http://www.stadtbuecherei-preetz.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37334652&date=2024-11-26"
TUESDAY NIGHT JUMP // Tanzkurse Swing Beginner (Open Class),2024-11-26,18:00,,"Blauer Engel, Kiel","sonstige
Location Link: https://www.blauerengel-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38147509&date=2024-11-26"
Doppelkopfabend,2024-11-26,20:00,,"Hansa48, Kiel","sonstige
tags (teilw.) eintritt frei
Location Link: https://www.hansa48.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37854427&date=2024-11-26"
Kieler Weihnachtsmarkt,2024-11-26,,,"Innenstadt, Kiel","sonstige
Location Link: https://www.kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38320808&date=2024-11-26"
Stadtwerke Eisfestival,2024-11-26,,,"Germania Hafen, Kiel","sonstige
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=35121734&date=2024-11-26"
Mittagskonzert - 30 Minuten Musik im Bach-Saal,2024-11-27,13:00,,"Bach-Saal (CAU Kiel), Kiel","konzert
Orgel Solo
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38140457&date=2024-11-27"
Phil Out One,2024-11-27,18:30,,"Lillebrauerei, Kiel","konzert
tags klassik
Location Link: https://lillebraeu.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=35671516&date=2024-11-27"
Jam Session,2024-11-27,20:30,,"Pogue Mahone, Kiel","konzert
Location Link: https://poguemahone.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=14077794&date=2024-11-27"
BERGFEST • Eintritt wird gewürfelt,2024-11-27,23:00,,"Luna Club, Kiel","disco
Hits & Classics
Location Link: https://lunaclub.com/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38048643&date=2024-11-27"
Bilderbuchkino: Conni kann nicht einschlafen,2024-11-27,15:30,,"Stadtteilbücherei Suchsdorf, Kiel","literatur
Für Kinder (3-6 Jahre)
Location Link: https://www.kiel.de/de/bildung_wissenschaft/stadtbuecherei/standorte_und_oeffnungszeiten/suchsdorf.p
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37855078&date=2024-11-27"
"Lesebühne Federkiel – Komm, wir lesen zusammen ein Buch",2024-11-27,20:00,,"Hansa48, Kiel","literatur
tags lesung
Location Link: https://www.hansa48.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37854426&date=2024-11-27"
