,Date,Event,Time,Location,Category,Source
24,2024-10-12,Daina Weinland - POP-UP-GALERIE,11:00,Galeriewerkstatt Caroline Rügge,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
25,2024-10-12,"Text trifft Tanke - Kunstwerke zum Thema ""Schöpfung"" lyrisch interpretiert",13:00,Kunsttankstelle Defacto Art,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
26,2024-10-12,Johannes Brahms - Beziehungszauber,14:00,Villa Brahms,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
27,2024-10-12,Deernskram,12:00,Tonfink,Sonstiges,https://www.unser-luebeck.de/veranstaltungskalender/
28,2024-10-12,Cavewoman mit Ramona Krönke,20:00,Kolosseum,Sonstiges,https://www.unser-luebeck.de/veranstaltungskalender/
0,2024-10-13,Die Niere,11:00,Comödie Lübeck,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
1,2024-10-13,Das Traumfresserchen - Figurentheater KOLK 17,15:00,Europäisches Hansemuseum,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
2,2024-10-13,Himmlische Zeiten,15:00,Theaterschiff,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
3,2024-10-13,Des Kaisers neue Kleider,16:00,Theater am Tremser Teich,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
4,2024-10-13,Der Besuch der alten Dame,18:00,Theater Lübeck – Großes Haus,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
5,2024-10-13,Der Durchbruch - Das Kleinkunstmusical,18:00,Theater Combinale,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
6,2024-10-13,Die große Johann Strauss Revue,15:30,Kolosseum,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
7,2024-10-13,Festlich-virtuose Trompetenmusik mit dem Pfeiffer-Trompeten-Consort,16:00,Dom zu Lübeck,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
8,2024-10-13,Wir auf Gut Blumendorf,18:00,Gut Blumendorf,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
9,2024-10-13,"Die Unbeugsamen 2 – Guten Morgen, ihr Schönen!",16:00,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
