,Category,Title,Date,Time,Location,City
2252,"Brauchtum / Tradition, Führung, Tradition",DORFFüHRUNG SüDERENDE - GESCHICHTEN HINTER DER HAUSTüR,12.10.2024,15:00 - 16:30 Uhr,"Feuerwehrgerätehaus, Dorfmitte",Süderende
2253,sonstige Seminare & Kurse,EINHAUS – EIN HAUS ERZäHLT GESCHICHTE(N),12.10.2024,15:00 - 18:00 Uhr,Jugendbildungsstätte Barmstedt,Barmstedt
2254,Ausstellungen,HARBOUR GALLERY TRAVEMüNDE | FRAUKE KLATT,12.10.2024,15:00 - 18:00 Uhr,Harbour Gallery by Frauke Klatt,Travemünde
2255,Historische Feste,HISTORISCHES BOGENSCHIEẞEN UND BUNTES MARKTTREIBEN IN ALT-MöLLN,12.10.2024,15:00 - 21:00 Uhr,Alte Holzlagerhalle auf dem Recyclinghof Stahlkopf,Alt Mölln
2256,Theater,JAKES FRAUEN - THEATER 47,12.10.2024,15:00 Uhr,Rathaus Barsbüttel,Barsbüttel
2257,sonstige Religion,KINDERKIRCHE,12.10.2024,15:00 Uhr,Johanneskirche Neumünster,Neumünster
2258,N/A,N/A,N/A,N/A,N/A,N/A
2259,Segeln & Yachting,NIGHTSAILING MIT WATERSPORTSLüBECKERBUCHT | SEGELTöRN,12.10.2024,15:00 - 23:30 Uhr,ab / an: Fischereihafen Travemünde oder BÖBS-Werft,Travemünde
2260,Sonstiges,ÖFFENTLICHE TURM- UND GEWöLBEFüHRUNG,12.10.2024,15:00 - 17:30 Uhr,St. Marien zu Lübeck,Lübeck
2261,sonstige Seminare & Kurse,RAD REPAIR CAFE,12.10.2024,15:00 - 17:00 Uhr,Rogate-Kirche Meiendorf,Hamburg
2262,Bootstouren,SCHLEUSENFAHRT,12.10.2024,15:00 - 17:30 Uhr,Schiff und Boot Morgenroth,Mölln
2263,Rundfahrten,SCHMIDT THEATER HH - DIE KöNIGS SCHENKEN NACH!,12.10.2024,15:00 Uhr,Eckernförde ZOB,Eckernförde
2264,Rundfahrten,"SCHMIDTS TIVOLI - MUSICAL ""HEIẞE ECKE""",12.10.2024,15:00 Uhr,Eckernförde ZOB,Eckernförde
2265,Segeln & Yachting,SEGELTöRNS IN DIE LüBECKER BUCHT | NACHMITTAGS,12.10.2024,15:00 - 18:00 Uhr,ab / an: Fischereihafen Travemünde oder BÖBS-Werft,Travemünde
2266,sonstige Religion,TRAUERCAFé,12.10.2024,15:00 Uhr,Kirchengemeinde Wilster (Gemeindehaus),Wilster
2267,sonstige Seminare & Kurse,VERNISSAGE IN DER VILLA FLATH,12.10.2024,15:00 - 18:00 Uhr,Städtische Kunsthalle Otto Flath und Villa Flath,Bad Segeberg
2268,sonstige Kunst & Kultur,WOOZLE GOOZLE: DAS ZEITREISE-MUSICAL MIT DEM THEATER LICHTERMEER FüR DIE GANZE FAMILIE,12.10.2024,15:00 Uhr,Kurhaustheater Bad Bramstedt,Bad Bramstedt
2269,N/A,N/A,N/A,N/A,N/A,N/A
2270,Lesungen,EIN FEST FüR DIE STRAẞENPOESIE.,12.10.2024,15:30 - 18:30 Uhr,Bücherpiraten e.V.,Lübeck
2271,Lesungen & Vorträge,EIN FEST FüR DIE STRAẞENPOESIE.,12.10.2024,15:30 Uhr,Bücherpiraten e.V.,Lübeck
2272,N/A,MARITIM GOLFSCHULE | SCHNUPPERTRAINING,12.10.2024,15:30 - 17:00 Uhr,"Maritim Golfpark Ostsee, Warnsdorf / Ratekau bei Travemünde",Warnsdorf / Ratekau bei Travemünde
2273,Theater,DES KAISERS NEUE KLEIDER,12.10.2024,16:00 Uhr,Theater am Tremser Teich,Lübeck
